tdate,A091220,A091230,A098560,A102110,A105010,A114820,A117690,A123310,A123320,A130680,A133690,A137610,A138520,A138530,A138540,A139220,A139230,A139240,A139250,A139260,A139270,A139280,A139290,A139310,A139320,A143850,A143860,A147970,A150460,A157450,A157490,A157500,A160580,A166400,A174350,A182480,A182490,A192090,A195920,A195930,A203780,A204480,A210780,A211560,A217770,A217780,A217790,A225030,A225040,A225050,A225060,A227540,A227550,A227560,A227570,A228790,A228800,A228810,A228820,A232080,A233160,A236350,A237440,A241180,A243880,A243890,A245340,A245350,A245360,A248260,A248270,A250780,A252000,A252710,A261060,A261070,A261110,A261120,A261140,A267770,A269370,A272580,A275980,A276000,A277630,A277640,A277650,A289250,A289260,A289480,A292150,A292160,A292560,A300610,A302170,A302180,A302190,A305080,A305540,A307510,A307520,A310960,A310970,A315270,A319640,A329200,A329750,A341850,A357870,A360750,A364960,A364970,A364980,A364990,A365000,A365040,A371160,A371450,A371460,A371470,A376410,A377990,A381170,A381180,A387270,A387280
2012-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-03,0.03586497890295348,0.01645399597044994,0.0019392372333548735,0.03149606299212593,0.008072653884964698,-0.00047678077619905945,0.02130681818181812,-0.031231925968768115,0.06243756243756238,0.017980636237897585,0.0017286084701815252,0.0044642857142858094,0.02779573367808652,0.014827018121911006,0.04042968750000009,0.01538461538461533,0.03864734299516903,0.03439011284255766,0.03340380549682864,0.027766091712242424,0.030627871362940207,0.01472320376914027,0.03275818954738674,0.008130081300812941,0.005464480874316946,0.00038491147036179285,0.007216103304215737,0.01608944641396226,0.007168458781362075,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-04,-0.019687712152070658,-0.0013214403700032573,0.001290322580645098,-0.005825632784250745,0.021021021021021102,0.00019080328181653172,-0.0088085303662494,0.006567164179104523,-0.010813352139163124,0.013134057971014412,0.01380500431406384,0.014999999999999902,-0.00691823899371069,-0.004870129870129913,0.016144171203303914,0.0031897926634769647,0.01023255813953483,0.014545454545454639,0.0036824877250409838,-0.011051985264019626,-0.010401188707280795,0.0017411491584444772,0.008232445520581111,0.015456989247311759,0.010869565217391353,0.008849557522123908,-0.0007541478129713397,0.006977992485238893,-0.007117437722419906,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-05,-0.00969529085872578,-0.00893152497519023,-0.0019329896907216426,-0.00222267124671649,0.00588235294117645,0.0005723006486073601,0.00187090739008422,0.0011862396204034287,-0.002851711026615966,0.0120697362539115,0.0008510638297871687,-0.0005473453749316182,-0.010766307789740304,0.0032626427406199365,-0.0024016257158692156,0.0015898251192367763,-0.009208103130755041,0.004096262160778297,0.0150835711373829,-0.004139072847682113,-0.005255255255255276,0.0017381228273465332,-0.00672430355427478,-0.01191264063534081,0.01319648093841641,0.0007627765064837089,-0.006037735849056647,0.002132196162046851,0.005376344086021501,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-06,-0.01328671328671327,-0.0006675567423231055,-0.019367333763718575,-0.014783313082219474,-0.003898635477582846,-0.00014299332697809142,0.0014005602240896309,0.014218009478673022,-0.029551954242135414,-0.017667844522968212,0.01998299319727881,-0.02026286966045998,-0.012804097311139517,-0.027642276422764178,-0.01925925925925931,0.0015873015873015817,-0.013011152416356864,-0.01682814890362061,-0.02168674698795181,-0.019118869492934287,-0.01584905660377356,-0.011567379988432602,0.005802707930367523,-0.0053583389149364224,0.0014471780028944004,0.0,-0.005694760820045608,-0.017819148936170204,-0.013368983957219305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-09,-0.0049610205527994555,-0.0197060788243153,-0.01974983541803821,-0.012949640287769792,-0.005870841487279899,-0.00042904133098153885,-0.0009324009324008786,0.014018691588784993,-0.02259332023575633,-0.0022482014388489624,0.0008336807002917723,-0.003353828954723359,-0.01037613488975353,0.009197324414715657,-0.0020770392749244193,-0.034072900158478636,-0.0037664783427495685,-0.015041493775933557,0.003694581280788256,0.0025423728813558366,-0.015337423312883458,-0.011117612638970154,-0.0163461538461539,0.00942760942760934,-0.006262042389210021,0.0007621951219511924,0.03589156166475749,-0.005957216355266692,0.004516711833784992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-10,0.017094017094017033,0.011925042589437718,0.016789791806581578,0.018742190753852528,0.0167322834645669,-9.538344143456001e-05,0.026598226784880996,-0.019585253456221197,0.0341708542713568,0.00540784136998651,0.002498958767180426,0.014021312394840058,0.013761467889908285,0.028997514498757315,0.02554399243140959,0.021328958162428302,0.020793950850661602,0.029489204844655115,0.014723926380368013,0.015638207945900318,0.027258566978193066,0.0065088757396449815,0.016373411534701843,0.002001334222815121,0.006301502666020253,0.008377760853008454,0.005528934758569859,0.011713429583219748,0.003597122302158251,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-11,-0.007002801120448154,-0.0060606060606061,-0.015852047556142668,-0.002861815208503704,0.006776379477250627,-9.539254030332955e-05,0.0072727272727273196,0.004112808460634554,-0.008746355685131157,-0.0013446884805020654,-0.002492729538845051,-0.0038716814159291957,-0.009049773755656076,-0.0016103059581320522,0.00018450184501839217,0.0008032128514057213,0.010185185185185075,0.002557544757033181,-0.013301088270858519,-0.0016645859342488967,-0.015163002274450332,-0.018224573780129316,0.001683096898292824,0.022636484687083902,0.015414258188824581,0.0015105740181269312,-0.0014662756598240456,0.0002692514808830815,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-12,0.0028208744710860323,0.0030487804878047697,-0.005369127516778538,0.008610086100861114,0.006730769230769207,0.0005724098454493731,0.0004512635379061436,-0.008191925102399078,0.016666666666666607,-0.0035906642728904536,0.00791336942940446,0.001110494169905607,0.005870841487279899,0.0040322580645162365,0.005902969931746993,0.00561797752808979,0.004582951420714965,0.019387755102040716,0.03472222222222232,-0.00041684035014588616,0.010777521170130866,0.0005988023952094856,0.005280844935189544,0.0078125,0.0033206831119545477,0.0011312217194570096,-0.0051395007342144305,-0.010497981157469694,-0.0026881720430107503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-01-13,0.0182841068917019,0.018574805808848405,0.0026990553306343035,0.009756097560975618,0.006685768863419206,0.0005244088482074805,-0.006765899864682012,-0.00943952802359882,0.021697203471552573,-0.00990990990990992,-0.0020661157024793875,-0.03494176372712143,0.009079118028534339,0.011244979919678766,0.0023840088024940087,0.002394253790901857,0.015510948905109512,0.010010010010010006,0.00039478878799847905,0.012510425354462118,0.012185833968012094,-0.0005984440454817053,0.009551098376313183,0.010335917312661591,-0.0014184397163120588,0.009792843691148745,0.01918819188191878,0.02176278563656142,-0.0017969451931716396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
