tdate,A091220,A091230,A098560,A102110,A105010,A114820,A117690,A123310,A123320,A130680,A133690,A137610,A138520,A138530,A138540,A139220,A139230,A139240,A139250,A139260,A139270,A139280,A139290,A139310,A139320,A143850,A143860,A147970,A150460,A157450,A157490,A157500,A160580,A166400,A174350,A182480,A182490,A192090,A195920,A195930,A203780,A204480,A210780,A211560,A217770,A217780,A217790,A225030,A225040,A225050,A225060,A227540,A227550,A227560,A227570,A228790,A228800,A228810,A228820,A232080,A233160,A236350,A237440,A241180,A243880,A243890,A245340,A245350,A245360,A248260,A248270,A250780,A252000,A252710,A261060,A261070,A261110,A261120,A261140,A267770,A269370,A272580,A275980,A276000,A277630,A277640,A277650,A289250,A289260,A289480,A292150,A292160,A292560,A300610,A302170,A302180,A302190,A305080,A305540,A307510,A307520,A310960,A310970,A315270,A319640,A329200,A329750,A341850,A357870,A360750,A364960,A364970,A364980,A364990,A365000,A365040,A371160,A371450,A371460,A371470,A376410,A377990,A381170,A381180,A387270,A387280
2012-11-30,-75.2973129439167,-53.56492905446197,-87.03234563348684,-80.8904006779108,,,,,,,,,-92.03491545637348,-94.0335637246744,-85.89095692054909,-92.88243698068126,-87.20755870841327,-95.17482457793871,-93.06025840203895,-85.1349827487511,-88.40775512043719,-95.01032734635544,-87.33421493703891,,,,-82.4359215933252,-66.4011335065921,-95.00071264281976,,-96.00989886813743,-86.9317144532142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012-12-31,-74.39116776559754,-54.17614259721263,-86.319514117977,-80.19454520737534,,,,,,,,,-91.42176279682316,-94.48848747311575,-85.56668167185121,-92.16145220444496,-86.47069609593792,-94.69825846989835,-92.98318340085505,-84.748982609439,-87.46451357852298,-94.83837181764815,-87.27134654245386,,,,-80.46629684067629,-65.19321500534775,-94.87006676542539,,-95.82731385677884,-86.16381826084682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-01-31,-74.6049694383983,-53.130984196033154,-86.9135774700748,-79.94145784340908,,,,,,,,,-91.4312729079662,-94.24176052471935,-85.62350551504706,-92.63593452053416,-85.56971198250562,-94.7890952559796,-92.97319469331946,-84.8876839880643,-87.48916325533934,-94.52134730264021,-87.46491216807098,,,,-80.61638719141482,-79.4225245679138,-94.62111180915089,,-95.75768259834712,-86.51124792195209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-02-28,-74.39088454654527,-52.838693611125514,-87.2549856286336,-79.87590053075068,,,,,,,,,-91.34883363514707,-93.9903513209186,-85.83889914650304,-92.64026825170058,-86.1601547181148,-94.71869100184254,-92.89922880839976,-84.72537540081844,-87.37465175935964,-94.52587032553582,-87.6577935248054,,,,-75.1388515826666,-78.22995739951914,-94.64916501718392,,-95.7673750019441,-86.58299366974089,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-03-31,-74.0973215526115,-51.68753782724494,-87.37872722545933,-79.9483146852375,,,,,,,,,-91.23738901151663,-93.56335534753065,-85.92243332396305,-92.33178147113034,-86.79952359718315,-94.98545228817672,-92.80210397072393,-84.60583939919356,-87.27621736373762,-94.58983633724178,-87.69585475836095,,,,-79.67108745815071,-77.10268054531136,-94.53570661363386,,-95.81545472545103,-86.71369770167931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-04-30,-75.80138290616188,-52.038831328729195,-87.47264607275123,-81.0214295474766,,,,,,,,,-91.53704147721139,-93.57438765953961,-85.42010862627892,-92.44280775075501,-89.1917376293427,-95.61208032243616,-93.07993799701018,-84.78672660568218,-88.46328957517258,-94.93990423920896,-86.84979024832893,,,,-85.51006117957103,-73.28550026751316,-94.4023766212338,,-95.84368019531746,-86.8847438593275,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-05-31,-75.98361612492201,-51.20580682098425,-88.1662389156272,-80.95389008391903,,,,,,,,,-91.62282356861913,-93.46050400844942,-85.61733917019414,-92.65553212335519,-89.3543037153652,-95.48817128585848,-93.1761923690514,-84.5791942459547,-88.14385597299984,-94.87554762626446,-86.878480138261,,,,-84.48360893773898,-73.51387285254177,-94.36295127262059,,-95.86316060833774,-86.33295543577456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-06-30,-75.99276390300047,-51.379370717407674,-87.83494336416973,-81.92280512467606,,,,,,,,,-91.89531549220598,-94.47561626418694,-85.79755902101849,-92.60325175445767,-91.97731967932823,-96.51164984313915,-93.32149727466212,-84.5673764735873,-89.05829092082801,-94.59471611268829,-87.28246483925632,,,,-84.85814532779912,-73.84054617846051,-94.54525204237217,,-95.83652508642628,-86.33144640926145,,,-93.26396445611041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-07-31,-75.97082518519191,-51.65650017505198,-87.72928085686615,-81.62099086593712,,,,,,,,,-91.91277728608604,-94.63417969429008,-85.60268269446253,-92.66998700715791,-91.89802933337998,-96.44281701683357,-93.40215835174752,-79.28955382435834,-88.82534138796359,-94.56636263059208,-87.15215457509446,,,,-84.19168206399911,-77.45628049367997,-94.80664111680517,,-93.29841830857899,-86.263329358721,,,-93.15648898834,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-08-31,-76.66985537342171,-53.720574658967735,-88.23498875420417,-82.14179895713681,,,,,,,,,-92.06431699105403,-94.45676281314348,-85.76688108891108,-92.58769013267542,-92.17898055021196,-96.14644833414779,-93.65971686091791,-85.38709705373246,-89.30246874446469,-94.22530795626787,-87.51288071476966,,,,-85.2794260054261,-76.30219942435413,-94.56141947240606,,-95.79849600393955,-86.63951835244082,,,-93.07771258934899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-09-30,-76.11379400329903,-55.9006380713964,-88.0084933560093,-82.19131659076066,,,,,,,,,-91.95391162395798,-95.03831115673034,-85.84778477498367,-92.41866803564542,-92.51671639325083,-96.09479779678948,-93.67930878229616,-86.51706309427706,-88.59334860344131,-94.71365762334759,-87.31178787847568,,,,-85.00508542329887,-76.5389779025082,-94.48856939691554,,-96.17167660048975,-86.5460310091215,,,-93.1517012377526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-10-31,-76.6846243574115,-56.879960336937344,-88.44608004817468,-82.13891490662866,,,,,,,,,-92.00399683275315,-95.0320052797566,-85.96291080233033,-92.41463357156334,-93.01519117152877,-95.92776364981039,-93.56229721854231,-86.94431564308378,-88.35244134621104,-94.63908020888863,-87.62465400303624,,,,-82.97267007341702,-88.91456093538683,-94.42228404185148,,-96.30803992024897,-86.82203794644711,,,-93.2300599998186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-11-30,-76.45600293731788,-57.58226586282591,-89.07933113288729,-82.34095517810113,,,,,,,,,-92.2098649339664,-95.17366535328856,-86.24889305599262,-92.8190630705538,-93.44360006168533,-95.86765315500307,-93.62115419033898,-87.61895828961262,-88.99890123730141,-94.63015701853094,-87.60004073266734,,,,-83.15904690791564,-88.84578583720152,-94.50071548820138,,-96.59717884093575,-87.17328596370358,,,-93.0229899374847,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-12-31,-76.24241443429985,-56.21879737568368,-88.77933888552411,-82.01021958463865,,,,,,,,,-92.0024598004597,-94.58525055007084,-85.4827947828112,-92.77059736810105,-93.24242176750518,-95.66323378033762,-93.6030317390162,-87.59219109146463,-88.33088700407893,-94.5247429272334,-87.23364516033703,,,,-85.39345893310266,-89.27966260162609,-95.74679837495542,,-96.3946603024046,-87.40917176165904,,,-93.45016840240326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-31,-75.8684131721488,-55.40268913548809,-88.03586045920402,-81.76307361499414,,,,,,,,,-91.98680303974282,-93.89591230194766,-85.81461769080377,-92.58082771535294,-92.58707580573581,-95.94881520784642,-93.67147118853158,-86.69215105874726,-88.4533957117342,-94.37211487406543,-87.35380020513892,,,,-84.96064169133814,-87.72503061715496,-95.33430836346174,,-96.03788954435599,-87.54939657594016,,,-93.2487257987865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-02-28,-75.94569066895538,-55.94431547116524,-88.57073001269733,-81.82708592673133,,,,,,,,,-91.85112508400763,-93.9204884362831,-86.08868074782147,-92.27720026288159,-92.70640666146706,-95.94691493639681,-93.70958632993887,-88.09486716641669,-88.09724686630425,-94.13350599988053,-87.29412782911277,,,,-84.45401868802747,-87.37263449335276,-95.16325578762297,,-96.25152053863775,-86.97859416940528,,,-93.09045718939382,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-03-31,-76.29174788541884,-55.143257453461175,-88.45259880165503,-82.01294094762709,,,,,,,,,-91.98567776300278,-93.71190485439263,-85.9785433275654,-92.29414284982761,-92.84925028207753,-95.74669070497836,-93.87185644009357,-88.0180929578907,-88.4057250885936,-94.14616268062342,-87.18033337708385,,,,-84.08891623474898,-87.30809822657862,-95.50118984919658,,-96.27714172583396,-86.95019846742007,,,-93.51836345912197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-04-30,-75.62975510208945,-55.277534417118694,-88.48027520153457,-82.2015524254308,,,,,,,,,-92.34153964323887,-93.7675421738794,-85.86598284846146,-92.10993671104447,-93.0323207894544,-96.05221339592424,-94.04562025820015,-87.2004366577985,-88.77308183757485,-94.33904544794305,-86.87641996996206,,,,-83.15810382914592,-86.92672164254448,-95.73293503882319,,-96.20669065196057,-86.66304992272201,,,-93.84006823138517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
