,tdate,code,score
0,2019-01-02,A091220,0.12195121951219513
1,2019-01-02,A091230,-0.25000000000000006
2,2019-01-02,A098560,0.7499999999999999
3,2019-01-02,A102110,-0.1739130434782609
4,2019-01-02,A105010,0.27358490566037735
5,2019-01-02,A114820,0.16666666666666669
6,2019-01-02,A117690,-0.15853658536585366
7,2019-01-02,A123310,0.631578947368421
8,2019-01-02,A123320,-0.857142857142857
9,2019-01-02,A130680,1.4255319148936167
10,2019-01-02,A133690,1.76
11,2019-01-02,A137610,-0.9726027397260274
12,2019-01-02,A138520,-1.0540540540540542
13,2019-01-02,A138530,-0.09090909090909091
14,2019-01-02,A138540,0.46153846153846156
15,2019-01-02,A139220,-0.4054054054054054
16,2019-01-02,A139230,-0.10256410256410256
17,2019-01-02,A139240,-0.2619047619047619
18,2019-01-02,A139250,-0.2647058823529412
19,2019-01-02,A139260,0.40625
20,2019-01-02,A139270,1.0540540540540542
21,2019-01-02,A139280,-0.16
22,2019-01-02,A139290,-0.8048780487804877
23,2019-01-02,A139310,0.1111111111111111
24,2019-01-02,A139320,-0.7868852459016393
25,2019-01-02,A143850,2.4000000000000004
26,2019-01-02,A143860,0.09756097560975613
27,2019-01-02,A147970,-0.06896551724137931
28,2019-01-02,A150460,-0.10714285714285715
29,2019-01-02,A157450,1.0
30,2019-01-02,A157490,0.6470588235294117
31,2019-01-02,A157500,-0.0857142857142857
32,2019-01-02,A160580,-0.4727272727272727
33,2019-01-02,A166400,-0.5517241379310345
34,2019-01-02,A174350,-0.23529411764705882
35,2019-01-02,A182480,3.0294117647058822
36,2019-01-02,A182490,0.08888888888888888
37,2019-01-02,A192090,-0.7720930232558141
38,2019-01-02,A195920,4.242424242424243
39,2019-01-02,A195930,1.5447154471544715
40,2019-01-02,A203780,-1.0660377358490565
41,2019-01-02,A204480,-0.6624203821656051
42,2019-01-02,A210780,0.2631578947368421
43,2019-01-02,A211560,0.0
44,2019-01-02,A217770,-1.116504854368932
